index,model,trained_on,no,high,low,var
0,miniNN,no,0.8263,0.03,0.1646,0.1941
1,CNN,no,0.9534,0.1095,0.8628,0.6041
2,DNN,no,0.9438,0.0244,0.2673,0.253
3,comboNN,no,0.9582,0.4259,0.93,0.7998
4,ocNN,no,0.9771,0.1223,0.7613,0.543
5,miniNN,high,0.6503,0.5803,0.6728,0.6462
6,CNN,high,0.896,0.8436,0.8964,0.8827
7,DNN,high,0.6754,0.5282,0.6601,0.6263
8,comboNN,high,0.9044,0.8599,0.9006,0.894
9,ocNN,high,0.9632,0.9332,0.9625,0.9567
10,miniNN,low,0.7186,0.4253,0.7668,0.6609
11,CNN,low,0.9309,0.7739,0.9265,0.894
12,DNN,low,0.8225,0.5767,0.82,0.7558
13,comboNN,low,0.9552,0.6577,0.951,0.8944
14,ocNN,low,0.9761,0.8776,0.973,0.9545
15,miniNN,var,0.7806,0.6281,0.7636,0.7241
16,CNN,var,0.9215,0.8269,0.9178,0.897
17,DNN,var,0.8537,0.503,0.7835,0.7035
18,comboNN,var,0.9531,0.8631,0.9481,0.9279
19,ocNN,var,0.9719,0.9283,0.969,0.9604
